actual,economy,forecast,impact,name,previous,timestamp_local
,EUR,,2,Euro Summit,,1561111200.0
50.1,USD,50.5,2,Manufacturing PMI (Jun),50.5,1561124700.0
50.6,USD,,2,Markit Composite PMI,50.9,1561124700.0
50.7,USD,51.0,2,Services PMI (Jun),50.9,1561124700.0
5.34M,USD,5.29M,3,Existing Home Sales (May),5.21M,1561125600.0
2.5%,USD,1.2%,2,Existing Home Sales (MoM) (May),-0.4%,1561125600.0
,USD,,2,FOMC Member Brainard Speaks,,1561132800.0
,USD,,2,FOMC Member Mester Speaks,,1561132800.0
789,USD,,2,U.S. Baker Hughes Oil Rig Count,788,1561136400.0
967,USD,,2,U.S. Baker Hughes Total Rig Count,969,1561136400.0
,USD,,2,FOMC Member Daly Speaks,,1561143600.0
-52.3K,USD,,1,CFTC Aluminium speculative net positions,-86.8K,1561145400.0
-24.0K,USD,,1,CFTC Copper speculative net positions,-30.5K,1561145400.0
270.3K,USD,,1,CFTC Corn speculative net positions,239.4K,1561145400.0
363.1K,USD,,2,CFTC Crude Oil speculative net positions,351.7K,1561145400.0
204.3K,USD,,2,CFTC Gold speculative net positions,184.2K,1561145400.0
-137.3K,USD,,1,CFTC Natural Gas speculative net positions,-126.9K,1561145400.0
51.9K,USD,,2,CFTC S&P 500 speculative net positions,54.9K,1561145400.0
14.5K,USD,,1,CFTC Silver speculative net positions,2.7K,1561145400.0
-2.7K,USD,,1,CFTC Soybeans speculative net positions,-47.7K,1561145400.0
29.3K,USD,,1,CFTC Wheat speculative net positions,9.7K,1561145400.0
-52.3K,EUR,,2,CFTC EUR speculative net positions,-86.8K,1561145400.0
